標的代號,類型,開市價,收市價,日漲跌%,盤前/盤後價,當日最低,當日最高,52週最低,52週最高,20D MA,50D MA,成交量,30日均量,RelVol (相對成交量),RSI(14),市值,Fibonacci波段錨點,Fib 23.6%,Fib 38.2%,Fib 50.0%,Fib 61.8%,Fib 78.6%,下次財報日,共識EPS,上季財報Beat/Miss,產業,Beta,營收年增,配息率,費用率,AUM (總資產),前5大持股
AAPL,個股,327.87,325.89,-0.56%,323.09,323.34,329.0,201.5,334.99,310.06,304.89,38700500,60481156,0.64,76.17,4786462654464,最高:2026-07-17 最低:2025-08-01 (低點轉高點 (多頭波段)),303.3,283.69,267.85,252.0,229.44,N/A,N/A,N/A,Consumer Electronics,1.097,16.60%,N/A,N/A,N/A,N/A
NVDA,個股,205.81,212.06,2.30%,209.8087,204.95,214.39,164.07,236.54,202.29,209.59,137220500,141728200,0.97,62.72,5136305356800,最高:2026-05-14 最低:2025-09-05 (低點轉高點 (多頭波段)),219.18,208.6,200.06,191.51,179.35,N/A,N/A,N/A,Semiconductors,2.211,85.20%,N/A,N/A,N/A,N/A
TSLA,個股,375.53,374.01,-1.30%,349.1859,372.9,380.17,297.82,498.83,394.62,407.47,29828100,42762696,0.7,33.23,1404678307840,最高:2025-12-22 最低:2025-08-01 (低點轉高點 (多頭波段)),451.39,422.04,398.32,374.61,340.84,N/A,N/A,N/A,Auto Manufacturers,N/A,25.50%,N/A,N/A,N/A,N/A
QQQ,ETF,703.62,705.35,-0.51%,699.63,703.62,709.65,551.68,748.65,714.25,718.73,23437600,44880476,0.52,41.43,N/A,最高:2026-06-03 最低:2025-08-01 (低點轉高點 (多頭波段)),700.91,671.89,648.43,624.97,591.58,N/A,N/A,N/A,N/A,N/A,N/A,0.25%,N/A,490103177216,N/A
SPY,ETF,746.62,747.41,-0.12%,742.99,746.37,750.02,619.29,760.4,745.67,744.04,32696300,55697276,0.59,51.52,N/A,最高:2026-06-02 最低:2025-08-01 (低點轉高點 (多頭波段)),724.0,702.7,685.47,668.25,643.74,N/A,N/A,N/A,N/A,N/A,N/A,0.76%,N/A,781188857856,N/A
