資料日期,標的代號,類型,開市價,收市價,日漲跌%,盤前/盤後價,當日最低,當日最高,52週最低,52週最高,20D MA,50D MA,成交量,30日均量,RelVol (相對成交量),RSI(14),市值,Fibonacci波段錨點,Fib 23.6%,Fib 38.2%,Fib 50.0%,Fib 61.8%,Fib 78.6%,下次財報日,共識EPS,上季財報Beat/Miss,產業,Beta,營收年增,配息率,費用率,AUM (總資產),前5大持股
2026-07-23,MU,個股,938.25,959.48,-1.17%,964.1,936.06,982.62,103.38,1255.0,993.29,948.29,31165700,51726933,0.6,43.2,1083630092288,最高:2026-06-25 最低:2025-08-01 (低點轉高點 (多頭波段)),983.03,814.9,679.01,543.12,349.66,N/A,N/A,N/A,Semiconductors,2.142,345.70%,N/A,N/A,N/A,N/A
2026-07-23,TSM,個股,414.91,421.21,-0.80%,416.6391,414.21,424.81,223.7,479.0,431.47,425.3,10236700,15093563,0.68,40.37,2184594718720,最高:2026-06-30 最低:2025-08-20 (低點轉高點 (多頭波段)),418.17,380.54,350.13,319.71,276.41,N/A,N/A,N/A,Semiconductors,1.246,36.00%,N/A,N/A,N/A,N/A
2026-07-23,SOXQ,ETF,95.06,97.66,0.44%,96.3977,95.0,98.57,42.67,115.33,100.59,100.56,1301400,3092170,0.42,40.5,N/A,最高:2026-06-22 最低:2025-08-01 (低點轉高點 (多頭波段)),98.14,87.5,78.91,70.31,58.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2770324992,N/A
2026-07-23,VOO,ETF,686.29,687.03,-0.12%,681.215,686.02,689.4,569.29,699.15,685.36,683.83,3391700,9633056,0.35,51.6,N/A,最高:2026-06-02 最低:2025-08-01 (低點轉高點 (多頭波段)),665.38,645.75,629.88,614.01,591.42,N/A,N/A,N/A,N/A,N/A,N/A,0.79%,N/A,1670882131968,N/A
2026-07-23,BRK-B,個股,490.5,489.39,-0.05%,488.0,487.81,492.32,455.19,516.85,495.52,488.58,3177600,4867496,0.65,38.31,1055542673408,最高:2025-11-28 最低:2025-08-04 (低點轉高點 (多頭波段)),502.3,493.3,486.02,478.74,468.39,N/A,N/A,N/A,Insurance - Diversified,0.607,4.40%,N/A,N/A,N/A,N/A
2026-07-23,XLV,ETF,160.97,159.43,-0.51%,159.65,158.95,160.97,127.96,165.61,160.18,153.43,5598600,10560800,0.53,49.77,N/A,最高:2026-07-07 最低:2025-08-07 (低點轉高點 (多頭波段)),156.21,150.39,145.69,140.98,134.29,N/A,N/A,N/A,N/A,N/A,N/A,1.13%,N/A,40598945792,N/A
